"cntry_name","cntry_iso","catalog_id","id_number","latitude","longitude","flr_volume","avg_temp","ellip","dtc_freq","clr_obs","flr_type"
"Iraq","IRQ","IRQ_UPS_2015_47.2834E_31.0261N_v3.0",7995,31.026119,47.28337,1.209017782,1659,3.61,95,82,"upstream"
"Venezuela","VEN","VEN_UPS_2015_63.6236W_9.6521N_v3.0",5026,9.652083,-63.62359,0.972594043,1838,1.6,100,93,"upstream"
"Iran","IRN","IRN_UPS_2015_49.7139E_28.4943N_v3.0",8460,28.494281,49.713936,0.905319903,1656,2.43,100,226,"upstream"
"Iran","IRN","IRN_UPS_2015_48.1394E_31.0033N_v3.0",8162,31.003307,48.13944,0.696725743,1663,1.77,93,150,"upstream"
"Venezuela","VEN","VEN_UPS_2015_63.5645W_9.6486N_v3.0",5039,9.648555,-63.564516,0.646347189,1786,1.6,100,107,"upstream"
"Russian Federation","RUS","RUS_UPS_2015_70.9866E_66.1990N_v3.0",9234,66.198955,70.986592,0.644462727,1860,2.15,97,156,"upstream"
"Venezuela","VEN","VEN_UPS_2015_63.7246W_9.6209N_v3.0",5007,9.620899,-63.724559,0.613932672,1862,1.6,99,98,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.4361E_31.6756N_v3.0",8042,31.675583,47.436089,0.604636576,1691,1.85,99,148,"upstream"
"Russian Federation","RUS","RUS_UPS_2015_72.5173E_67.8024N_v3.0",9281,67.802441,72.51726,0.600852975,1792,1.54,99,239,"upstream"
"Iran","IRN","IRN_UPS_2015_53.1485E_25.5322N_v3.0",8768,25.532226,53.14848,0.595161428,1662,1.67,100,297,"upstream"
"Venezuela","VEN","VEN_UPS_2015_63.4741W_9.7358N_v3.0",5056,9.735779,-63.474071,0.588603968,1845,1.6,99,100,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.3268E_30.6099N_v3.0",8005,30.609912,47.326779,0.587638254,1628,1.25,99,160,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.3157E_30.4948N_v3.0",8003,30.494829,47.31566,0.573586973,1700,1.76,100,143,"upstream"
"Russian Federation","RUS","RUS_UPS_2015_96.2487E_60.4345N_v3.0",10489,60.43448,96.24867,0.560792,1745,4.23,99,165,"upstream"
"Venezuela","VEN","VEN_UPS_2015_63.5346W_9.6529N_v3.0",5046,9.652898,-63.534555,0.551128993,1817,1.6,100,113,"upstream"
"Nigeria","NGA","NGA_UPS_2015_05.5613E_3.4652N_v3.0",6656,3.465181,5.561301,0.530135727,1646,2.18,99,71,"upstream"
"Iran","IRN","IRN_UPS_2015_52.6434E_27.5012N_v3.0",8744,27.501173,52.643367,0.503541909,1755,3.12,100,120,"upstream"
"Kazakhstan","KAZ","KAZ_UPS_2015_57.3513E_48.2338N_v3.0",7646,48.233775,57.351284,0.49005127,1800,1.75,99,215,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.6646E_30.7521N_v3.0",8077,30.752079,47.664557,0.472072558,1670,1.38,100,178,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.6263E_31.0819N_v3.0",8072,31.081887,47.626334,0.469733124,1603,1.82,100,186,"upstream"
"Iran","IRN","IRN_UPS_2015_47.7063E_32.3528N_v3.0",8083,32.352762,47.706297,0.464449584,1677,2.66,99,158,"upstream"
"Iran","IRN","IRN_UPS_2015_52.6166E_27.5135N_v3.0",8740,27.513503,52.616621,0.436614134,1767,3.6,100,134,"upstream"
"Iran","IRN","IRN_UPS_2015_48.2799E_30.7516N_v3.0",8179,30.751624,48.279922,0.434741412,1661,1.31,100,289,"upstream"
"Mexico","MEX","MEX_UPS_2015_93.1198W_17.8422N_v3.0",4610,17.842249,-93.119784,0.43055861,1630,1.6,100,120,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.3298E_30.6869N_v3.0",8008,30.686935,47.329806,0.415186444,1667,1.79,100,215,"upstream"
"Venezuela","VEN","VEN_UPS_2015_63.1551W_8.6864N_v3.0",5076,8.686446,-63.155067,0.393432936,1825,2.21,99,118,"upstream"
"Mexico","MEX","MEX_UPS_2015_92.2383W_19.5663N_v3.0",4633,19.566308,-92.238318,0.388266808,1678,1.63,100,168,"upstream"
"Iran","IRN","IRN_UPS_2015_48.1163E_31.2718N_v3.0",8156,31.271771,48.11634,0.384286541,1582,1.11,100,233,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_45.9644E_31.3573N_v3.0",7963,31.357282,45.964358,0.383270927,1754,1.62,99,222,"upstream"
"Venezuela","VEN","VEN_DNS_2015_70.1988W_11.7388N_v3.0",4947,11.738761,-70.198768,0.382983268,1663,1.6,100,132,"refinery"
"Russian Federation","RUS","RUS_UPS_2016_105.8847E_57.8751N_v3.0",10529,57.87509,105.884675,0.381515618,1853,1.51,98,109,"upstream"
"Russian Federation","RUS","RUS_UPS_2015_106.8020E_57.9840N_v3.0",10552,57.983989,106.801959,0.37703635,1741,2.3,100,150,"upstream"
"Turkmenistan","TKM","TKM_UPS_2015_53.1869E_39.3984N_v3.0",8771,39.398408,53.186861,0.370270483,1734,1.97,96,242,"upstream"
"Venezuela","VEN","VEN_UPS_2015_63.4746W_9.6784N_v3.0",5057,9.678404,-63.474627,0.365368532,1831,1.6,98,111,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.4100E_32.1176N_v3.0",8035,32.117585,47.41,0.3553709,1632,1.57,100,249,"upstream"
"Russian Federation","RUS","RUS_UPS_2015_112.8062E_61.3460N_v3.0",10626,61.346049,112.80615,0.354405187,1766,1.41,99,196,"upstream"
"Iran","IRN","IRN_UPS_2015_49.8605E_30.3898N_v3.0",8478,30.389827,49.860471,0.354035339,1784,1.64,100,162,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_43.7694E_35.9809N_v3.0",7889,35.980891,43.769357,0.347601161,1705,1.8,99,168,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.3271E_30.7638N_v3.0",8007,30.763829,47.327058,0.344830238,1597,2.34,98,249,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.5145E_31.6562N_v3.0",8051,31.656218,47.514545,0.342552445,1740,1.99,100,254,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_46.0642E_31.7691N_v3.0",7965,31.769074,46.064191,0.34245558,1877,1.97,96,227,"upstream"
"Algeria","DZA","DZA_UPS_2015_07.1937E_28.6840N_v3.0",6209,28.68402,7.193738,0.334879571,1738,1.22,100,307,"upstream"
"Nigeria","NGA","NGA_UPS_2015_07.6597E_4.3047N_v3.0",6721,4.304748,7.659666,0.332827796,1631,1.55,97,66,"upstream"
"Angola","AGO","AGO_UPS_2015_12.1119E_7.8470S_v3.0",6891,-7.846985,12.111941,0.321975992,1650,2.25,97,77,"upstream"
"Venezuela","VEN","VEN_UPS_2015_64.5464W_9.3867N_v3.0",4979,9.386719,-64.546436,0.32107192,1712,1.6,100,91,"upstream"
"Russian Federation","RUS","RUS_UPS_2015_53.8121E_51.8461N_v3.0",7469,51.846071,53.812083,0.317212,1703,1.39,99,183,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.3318E_30.8819N_v3.0",8012,30.881934,47.331847,0.317009465,1691,2.35,97,257,"upstream"
"Mexico","MEX","MEX_UPS_2015_92.0432W_19.3944N_v3.0",4649,19.394414,-92.043192,0.316795188,1717,1.87,100,155,"upstream"
"Iran","IRN","IRN_DNS_2016_47.8361E_31.4346N_v3.0",8112,31.434565,47.836113,0.315192514,1700,1.17,100,241,"refinery"
"Iraq","IRQ","IRQ_UPS_2015_46.8377E_30.3516N_v3.0",7977,30.351632,46.837699,0.307437451,1730,2.31,86,206,"upstream"
"Algeria","DZA","DZA_DNS_2015_06.0563E_31.6630N_v3.0",6171,31.662978,6.056315,0.306524573,1674,2.28,100,241,"refinery"
"Russian Federation","RUS","RUS_UPS_2015_107.6009E_58.4478N_v3.0",10572,58.447827,107.600902,0.304654787,1691,2.39,99,155,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.3306E_30.5617N_v3.0",8009,30.561681,47.330627,0.298837022,1624,1.54,100,308,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.1029E_30.5641N_v3.0",7986,30.564119,47.102884,0.297372308,1656,1.77,83,286,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.6173E_31.0626N_v3.0",8070,31.062563,47.617278,0.297184449,1575,0.88,100,213,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_45.6621E_32.4886N_v3.0",7958,32.4886,45.662104,0.29112775,1786,1.4,100,247,"upstream"
"Venezuela","VEN","VEN_UPS_2015_63.6959W_9.6254N_v3.0",5010,9.625414,-63.69588,0.290048441,1839,1.6,99,115,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.6082E_30.4194N_v3.0",8067,30.419414,47.608161,0.287030365,1756,1.56,100,269,"upstream"
"Iran","IRN","IRN_UPS_2015_49.6864E_29.9428N_v3.0",8455,29.942841,49.68642,0.284971252,1682,1.79,100,207,"upstream"
"Iraq","IRQ","IRQ_UPS_2015_47.2512E_32.2563N_v3.0",7991,32.256305,47.251179,0.284469609,1685,1.52,99,296,"upstream"
"Russian Federation","RUS","RUS_UPS_2015_109.0978E_60.1470N_v3.0",10588,60.147,109.097799,0.284282044,1721,2.33,99,246,"upstream"
