"cntry_name","cntry_iso","catalog_id","id_number","latitude","longitude","flr_volume","avg_temp","ellip","dtc_freq","clr_obs","flr_type"
"Russian Federation","RUS","VNF_e2012-2015_n20585_x0834803E_y677120N_v1.0",-9999,67.711992,83.480317,1.027877483,1808.76,1.66352,99.7925,482,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12557_x0635642W_y096467N_v1.0",-9999,9.646733,-63.564198,0.887555467,1729.72,1.29884,100,209,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12550_x0636245W_y096514N_v1.0",-9999,9.65143,-63.624535,0.796399725,1756.16,1.4608,100,201,"upstream"
"Iran","IRN","VNF_e2012-2015_n18457_x0497140E_y284943N_v1.0",-9999,28.494289,49.713951,0.77995324,1661.02,1.72789,100,302,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12569_x0634732W_y097358N_v1.0",-9999,9.735795,-63.473241,0.67937812,1806.26,1.42614,100,208,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17807_x0456636E_y324888N_v1.0",-9999,32.488785,45.66365,0.612614722,1714.05,1.27467,99.322,295,"upstream"
"Kazakhstan","KAZ","VNF_e2012-2015_n17357_x0574613E_y478800N_v1.0",-9999,47.880032,57.461328,0.551128993,1731.29,1.46697,99.4937,395,"upstream"
"Algeria","DZA","VNF_e2012-2015_n14916_x0060570E_y317990N_v1.0",-9999,31.799048,6.057042,0.521365051,1695.48,1.34636,100,316,"refinery"
"Iraq","IRQ","VNF_e2012-2015_n17869_x0473610E_y302786N_v1.0",-9999,30.278613,47.361021,0.496858231,1606.4,0.97305,98.7654,324,"upstream"
"Russian Federation","RUS","VNF_e2012-2015_n20589_x0835402E_y677928N_v1.0",-9999,67.792785,83.540213,0.466592353,1800.46,1.17026,94.8546,447,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17864_x0473319E_y308823N_v1.0",-9999,30.882338,47.331895,0.456894122,1642.65,0.922732,97.8814,236,"upstream"
"Russian Federation","RUS","VNF_e2012-2015_n22032_x1090982E_y601471N_v1.0",-9999,60.147079,109.098243,0.455664231,1739.59,1.78608,98.9189,370,"upstream"
"Iran","IRN","VNF_e2012-2015_n18797_x0531485E_y255326N_v1.0",-9999,25.53262,53.148495,0.454082104,1661.44,1.6209,100,296,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17874_x0474138E_y301665N_v1.0",-9999,30.166491,47.413783,0.447906233,1609.79,0.924811,98.3923,311,"upstream"
"Iran","IRN","VNF_e2012-2015_n18769_x0526283E_y275095N_v1.0",-9999,27.509535,52.628306,0.433417592,1717.66,3.07193,100,303,"upstream"
"Iran","IRN","VNF_e2012-2015_n18766_x0525833E_y275427N_v1.0",-9999,27.542688,52.583252,0.430978358,1724.18,2.76558,100,297,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17878_x0474361E_y316759N_v1.0",-9999,31.675865,47.436103,0.428794495,1669.47,1.22345,98.4848,264,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17859_x0473270E_y307636N_v1.0",-9999,30.763569,47.327,0.425386611,1626.83,0.996542,97.2,250,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17871_x0473938E_y302125N_v1.0",-9999,30.212464,47.393822,0.416924141,1612.14,1.15298,98.7342,316,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17861_x0473295E_y306873N_v1.0",-9999,30.687289,47.32953,0.415764698,1639.62,0.90241,98.1043,211,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17858_x0473296E_y308263N_v1.0",-9999,30.82631,47.329625,0.414388042,1699.86,1.01962,97.4227,194,"upstream"
"Kazakhstan","KAZ","VNF_e2012-2015_n17339_x0573516E_y482337N_v1.0",-9999,48.233693,57.351561,0.405068465,1805.62,1.34053,98.9418,378,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17867_x0473381E_y303577N_v1.0",-9999,30.357658,47.3381,0.39988766,1637.14,1.11273,99.0712,323,"upstream"
"Turkmenistan","TKM","VNF_e2012-2015_n18804_x0531868E_y393985N_v1.0",-9999,39.398451,53.186816,0.393077764,1683.69,1.2266,97.7199,307,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17862_x0473267E_y306101N_v1.0",-9999,30.610053,47.326745,0.388111237,1654.72,1.05388,98.7842,329,"upstream"
"Angola","AGO","VNF_e2012-2015_n15904_x0116655E_y054173S_v1.0",-9999,-5.417279,11.665483,0.383975399,1773.98,2.49343,100,147,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12532_x0637237W_y096216N_v1.0",-9999,9.621563,-63.723692,0.381269052,1798.53,1.43184,100,200,"upstream"
"Iran","IRN","VNF_e2012-2015_n18897_x0545343E_y259018N_v1.0",-9999,25.901815,54.534341,0.368612039,1722.61,1.45009,100,294,"refinery"
"Nigeria","NGA","VNF_e2012-2015_n15740_x0073937E_y035755N_v1.0",-9999,3.575524,7.393717,0.36548888,1655.08,1.93187,99.187,123,"upstream"
"Libya","LBY","VNF_e2012-2015_n15202_x0197717E_y289098N_v1.0",-9999,28.909756,19.771665,0.362618156,1620.99,1.31321,100,334,"upstream"
