"cntry_name","cntry_iso","catalog_id","id_number","latitude","longitude","flr_volume","avg_temp","ellip","dtc_freq","clr_obs","flr_type"
"Venezuela","VEN","VNF_e2012-2015_n12550_x0636245W_y096514N_v1.0",-9999,9.65143,-63.624535,1.283004954,1756.16,1.4608,100,305,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17850_x0472834E_y310259N_v1.0",-9999,31.025946,47.283359,1.212255418,1681,1.54945,99.4444,360,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12569_x0634732W_y097358N_v1.0",-9999,9.735795,-63.473241,0.831194772,1806.26,1.42614,100,293,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12532_x0637237W_y096216N_v1.0",-9999,9.621563,-63.723692,0.808228984,1798.53,1.43184,100,290,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17905_x0476268E_y310825N_v1.0",-9999,31.082454,47.626818,0.70232336,1638.5,1.00222,93.7313,335,"upstream"
"Kazakhstan","KAZ","VNF_e2012-2015_n17339_x0573516E_y482337N_v1.0",-9999,48.233693,57.351561,0.684479672,1805.62,1.34053,98.9218,371,"upstream"
"Iran","IRN","VNF_e2012-2015_n18457_x0497140E_y284943N_v1.0",-9999,28.494289,49.713951,0.675036812,1661.02,1.72789,91.4754,305,"upstream"
"Iran","IRN","VNF_e2012-2015_n18771_x0526464E_y275016N_v1.0",-9999,27.50155,52.646361,0.647597627,1724.4,2.50028,100,365,"upstream"
"Iran","IRN","VNF_e2012-2015_n18727_x0521782E_y277191N_v1.0",-9999,27.71913,52.178172,0.596364901,1714.91,2.91765,96.6258,326,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17878_x0474361E_y316759N_v1.0",-9999,31.675865,47.436103,0.543614625,1669.47,1.22345,99.7033,337,"upstream"
"Russian Federation","RUS","VNF_e2012-2015_n22032_x1090982E_y601471N_v1.0",-9999,60.147079,109.098243,0.536285181,1739.59,1.78608,99.4709,378,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12557_x0635642W_y096467N_v1.0",-9999,9.646733,-63.564198,0.516598124,1729.72,1.29884,100,298,"upstream"
"Kazakhstan","KAZ","VNF_e2012-2015_n17357_x0574613E_y478800N_v1.0",-9999,47.880032,57.461328,0.502041971,1731.29,1.46697,78.2609,368,"upstream"
"Iran","IRN","VNF_e2012-2015_n18797_x0531485E_y255326N_v1.0",-9999,25.53262,53.148495,0.477212268,1661.44,1.6209,99.7333,375,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17903_x0476201E_y310662N_v1.0",-9999,31.066192,47.620093,0.449855272,1642.36,1.52686,99.6416,279,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17864_x0473319E_y308823N_v1.0",-9999,30.882338,47.331895,0.437855766,1642.65,0.922732,96.3855,332,"upstream"
"Iran","IRN","VNF_e2012-2015_n18935_x0558514E_y268517N_v1.0",-9999,26.851703,55.851446,0.435328472,1744.48,1.41175,99.7333,375,"upstream"
"Malaysia","MYS","VNF_e2012-2015_n24942_x1143402E_y058260N_v1.0",-9999,5.82596,114.34023,0.435128872,1706.27,2.09725,93.4211,152,"upstream"
"Mexico","MEX","VNF_e2012-2015_n11313_x0921708W_y192940N_v1.0",-9999,19.293963,-92.170783,0.434136741,1657.13,1.38706,93.7255,255,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17823_x0460646E_y317689N_v1.0",-9999,31.768904,46.064602,0.431902977,1768.49,1.21211,96.988,332,"upstream"
"Iran","IRN","VNF_e2012-2015_n18027_x0481523E_y309970N_v1.0",-9999,30.996953,48.152344,0.431565418,1731.4,1.14112,100,332,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17862_x0473267E_y306101N_v1.0",-9999,30.610053,47.326745,0.426889485,1654.72,1.05388,100,379,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17871_x0473938E_y302125N_v1.0",-9999,30.212464,47.393822,0.410566282,1612.14,1.15298,99.729,369,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12559_x0635333W_y096520N_v1.0",-9999,9.651976,-63.53325,0.400821086,1778.34,1.17381,100,285,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17857_x0473144E_y305682N_v1.0",-9999,30.568219,47.31436,0.39558451,1642.36,1.24046,99.4667,375,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17858_x0473296E_y308263N_v1.0",-9999,30.82631,47.329625,0.395346751,1699.86,1.01962,99.3711,318,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17867_x0473381E_y303577N_v1.0",-9999,30.357658,47.3381,0.38515539,1637.14,1.11273,99.4764,382,"upstream"
