"cntry_name","cntry_iso","catalog_id","id_number","latitude","longitude","flr_volume","avg_temp","ellip","dtc_freq","clr_obs","flr_type"
"Iraq","IRQ","VNF_e2012-2015_n17850_x0472834E_y310259N_v1.0",-9999,31.025946,47.283359,1.335203393,1681,1.54945,100,383,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12550_x0636245W_y096514N_v1.0",-9999,9.65143,-63.624535,1.300440636,1756.16,1.4608,100,302,"upstream"
"Iran","IRN","VNF_e2012-2015_n18457_x0497140E_y284943N_v1.0",-9999,28.494289,49.713951,0.815986982,1661.02,1.72789,100,385,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12569_x0634732W_y097358N_v1.0",-9999,9.735795,-63.473241,0.691122256,1806.26,1.42614,100,280,"upstream"
"Iran","IRN","VNF_e2012-2015_n18727_x0521782E_y277191N_v1.0",-9999,27.71913,52.178172,0.643784673,1714.91,2.91765,100,375,"upstream"
"Kazakhstan","KAZ","VNF_e2012-2015_n17339_x0573516E_y482337N_v1.0",-9999,48.233693,57.351561,0.639393464,1805.62,1.34053,100,347,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17862_x0473267E_y306101N_v1.0",-9999,30.610053,47.326745,0.617965774,1654.72,1.05388,100,404,"upstream"
"Venezuela","VEN","VNF_e2016_n5154_x0637298W_y096203N_v1.0",-9999,9.620263,-63.729774,0.600929293,1782.17,2.08959,99.6528,288,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17878_x0474361E_y316759N_v1.0",-9999,31.675865,47.436103,0.56391516,1669.47,1.22345,98.6523,371,"upstream"
"Russian Federation","RUS","VNF_e2012-2015_n22032_x1090982E_y601471N_v1.0",-9999,60.147079,109.098243,0.563809489,1739.59,1.78608,100,442,"upstream"
"Iran","IRN","VNF_e2016_n9126_x0526400E_y275034N_v1.0",-9999,27.503421,52.640004,0.562975864,1725.02,2.78727,100,378,"upstream"
"Mexico","MEX","VNF_e2012-2015_n11313_x0921708W_y192940N_v1.0",-9999,19.293963,-92.170783,0.55227963,1657.13,1.38706,96.875,224,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17910_x0476647E_y307521N_v1.0",-9999,30.752101,47.664686,0.541671456,1706.57,0.97043,100,359,"upstream"
"Venezuela","VEN","VNF_e2012-2015_n12557_x0635642W_y096467N_v1.0",-9999,9.646733,-63.564198,0.536602193,1729.72,1.29884,100,286,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17905_x0476268E_y310825N_v1.0",-9999,31.082454,47.626818,0.527605499,1638.5,1.00222,100,315,"upstream"
"Iran","IRN","VNF_e2012-2015_n18797_x0531485E_y255326N_v1.0",-9999,25.53262,53.148495,0.511787167,1661.44,1.6209,100,392,"upstream"
"Iran","IRN","VNF_e2012-2015_n17918_x0477062E_y323529N_v1.0",-9999,32.352921,47.706206,0.50311042,1645.34,1.58788,100,384,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17819_x0460140E_y330297N_v1.0",-9999,33.029697,46.013994,0.500964716,1756.02,1.31508,99.187,369,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17859_x0473270E_y307636N_v1.0",-9999,30.763569,47.327,0.485481008,1626.83,0.996542,98.6413,368,"upstream"
"Iran","IRN","VNF_e2012-2015_n18027_x0481523E_y309970N_v1.0",-9999,30.996953,48.152344,0.48207606,1731.4,1.14112,68.5864,382,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17807_x0456636E_y324888N_v1.0",-9999,32.488785,45.66365,0.466791953,1714.05,1.27467,100,370,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17856_x0473129E_y304968N_v1.0",-9999,30.496803,47.312949,0.460489864,1729.95,1.26939,100,391,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17823_x0460646E_y317689N_v1.0",-9999,31.768904,46.064602,0.459477186,1768.49,1.21211,97.832,369,"upstream"
"Iraq","IRQ","VNF_e2012-2015_n17861_x0473295E_y306873N_v1.0",-9999,30.687289,47.32953,0.459201267,1639.62,0.90241,98.961,385,"upstream"
"Iran","IRN","VNF_e2012-2015_n18935_x0558514E_y268517N_v1.0",-9999,26.851703,55.851446,0.457504664,1744.48,1.41175,100,386,"upstream"
"Russian Federation","RUS","VNF_e2012-2015_n21996_x1067996E_y579843N_v1.0",-9999,57.984332,106.799575,0.445408293,1799.42,2.25452,99.5283,424,"upstream"
"Venezuela","VEN","VNF_e2016_n5155_x0637195W_y096277N_v1.0",-9999,9.627721,-63.719513,0.424896416,1832.43,2.0834,100,286,"upstream"
"Iran","IRN","VNF_e2012-2015_n18477_x0498602E_y303905N_v1.0",-9999,30.390491,49.860243,0.424095079,1734.99,1.49828,99.7455,393,"upstream"
