"cntry_name","cntry_iso","catalog_id","id_number","latitude","longitude","flr_volume","avg_temp","ellip","dtc_freq","clr_obs","flr_type"
"Iraq","IRQ",-9999,8855,31.026022,47.283562,1.236847361,1679.59,-9999,1,196,"upstream"
"Venezuela","VEN",-9999,5531,9.651642,-63.624472,0.922870061,1759.32,-9999,1,144,"upstream"
"Iran","IRN",-9999,8999,30.998813,48.148595,0.780581394,1716.84,-9999,1,226,"upstream"
"Iran","IRN",-9999,9308,28.494256,49.714008,0.766374542,1660.42,-9999,1,333,"upstream"
"Iraq","IRQ",-9999,8864,30.609922,47.326746,0.650870487,1651.67,-9999,1,207,"upstream"
"Iran","IRN",-9999,9588,25.532559,53.1485,0.606764669,1659.54,-9999,1,347,"upstream"
"Iraq","IRQ",-9999,8822,33.029564,46.014211,0.549282689,1758.02,-9999,0.992701,274,"upstream"
"Venezuela","VEN",-9999,5513,9.621529,-63.723119,0.5461155,1796.88,-9999,0.993506,154,"upstream"
"Venezuela","VEN",-9999,5543,9.647019,-63.564094,0.539866247,1732.53,-9999,1,155,"upstream"
"Iran","IRN",-9999,8930,32.352842,47.70624,0.520132225,1648.06,-9999,1,189,"upstream"
"Iraq","IRQ",-9999,8889,31.675732,47.436122,0.513985707,1668.7,-9999,1,254,"upstream"
"Iraq","IRQ",-9999,8917,31.081593,47.626242,0.496831813,1628.55,-9999,0.995575,226,"upstream"
"Iraq","IRQ",-9999,8861,30.496652,47.313023,0.492649011,1730.71,-9999,1,245,"upstream"
"Iran","IRN",-9999,9562,27.512828,52.621635,0.492505181,1725.9,-9999,1,158,"upstream"
"Iran","IRN",-9999,9330,30.390346,49.860404,0.486951594,1738.67,-9999,0.993902,164,"upstream"
"Iran","IRN",-9999,9564,27.50282,52.640781,0.486631646,1727.21,-9999,1,154,"upstream"
"Russian Federation","RUS",-9999,11592,57.984287,106.797785,0.471693904,1790.75,-9999,0.991304,230,"upstream"
"Nigeria","NGA",-9999,7351,3.465556,5.561424,0.468418109,1593.58,-9999,0.991597,119,"upstream"
"Iraq","IRQ",-9999,8747,35.685085,43.880028,0.457751229,1728.63,-9999,0.767123,292,"upstream"
