Price,Close,High,Low,Open,Volume,Returns,Volatility-20d
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F,,
Date,,,,,,,
2012-01-03,102.95999908447266,103.18000030517578,99.6500015258789,99.69999694824219,275481,,
2012-01-04,103.22000122070312,103.73999786376953,101.87999725341797,102.98999786376953,271711,0.0025252732958667146,
2012-01-05,101.80999755859375,103.7300033569336,101.30000305175781,103.29000091552734,295615,-0.0136601787001972,
2012-01-06,101.55999755859375,102.80000305175781,100.87999725341797,101.3499984741211,290458,-0.002455554523082326,
2012-01-09,101.30999755859375,102.1500015258789,100.0999984741211,101.91999816894531,311866,-0.0024615991139205207,
2012-01-10,102.23999786376953,103.41000366210938,101.30000305175781,101.30000305175781,291273,0.00917974856961079,
2012-01-11,100.87000274658203,102.45999908447266,100.55000305175781,102.19999694824219,311641,-0.01339979602711805,
2012-01-12,99.0999984741211,102.9800033569336,98.5,101.0,370509,-0.017547380036340043,
2012-01-13,98.69999694824219,100.19000244140625,97.69999694824219,99.19999694824219,335624,-0.004036342401996684,
2012-01-17,100.70999908447266,101.01000213623047,98.5999984741211,98.94999694824219,341887,0.020364763914678896,
2012-01-18,100.58999633789062,102.05999755859375,99.83999633789062,100.91000366210938,269387,-0.0011915673485547451,
2012-01-19,100.38999938964844,102.05999755859375,99.9800033569336,101.13999938964844,120170,-0.0019882389454551896,
2012-01-20,98.45999908447266,100.73999786376953,97.91000366210938,100.38999938964844,304986,-0.01922502556937744,
2012-01-23,99.58000183105469,100.23999786376953,97.4000015258789,98.33999633789062,238960,0.011375205738333838,
2012-01-24,98.94999694824219,100.18000030517578,98.25,99.87999725341797,242477,-0.00632662051845867,
2012-01-25,99.4000015258789,100.4000015258789,97.52999877929688,99.19999694824219,322794,0.004547797791970565,
2012-01-26,99.69999694824219,101.38999938964844,99.2300033569336,99.95999908447266,260744,0.0030180625528981597,
2012-01-27,99.55999755859375,100.62999725341797,99.12999725341797,99.93000030517578,253456,-0.0014042065590144093,
2012-01-30,98.77999877929688,100.05000305175781,98.43000030517578,100.0,215829,-0.007834459606508415,
2012-01-31,98.4800033569336,101.29000091552734,97.86000061035156,98.87999725341797,373891,-0.003037005730619158,
2012-02-01,97.61000061035156,99.48999786376953,97.11000061035156,98.37999725341797,293554,-0.008834308660904178,0.1543126209280834
2012-02-02,96.36000061035156,97.98999786376953,95.44000244140625,97.11000061035156,331240,-0.012806064872285639,0.15710406875752947
2012-02-03,97.83999633789062,98.02999877929688,96.01000213623047,96.61000061035156,318638,0.015359025717773589,0.16548006895719997
2012-02-06,96.91000366210938,97.75,96.37999725341797,97.73999786376953,257715,-0.009505240296304951,0.16765190245013406
2012-02-07,98.41000366210938,99.12999725341797,95.83999633789062,97.12999725341797,415728,0.01547827823049075,0.17910768152559484
2012-02-08,98.70999908447266,100.08999633789062,98.0999984741211,98.7699966430664,364737,0.003048424054462151,0.17559626178807522
2012-02-09,99.83999633789062,100.18000030517578,98.66000366210938,99.0999984741211,295425,0.011447647289014373,0.1757837917557423
2012-02-10,98.66999816894531,99.88999938964844,97.31999969482422,99.88999938964844,307564,-0.01171873208994978,0.16936730848583081
2012-02-13,100.91000366210938,101.0,99.08999633789062,99.33000183105469,268062,0.0227019918387823,0.18694002282869554
2012-02-14,100.73999786376953,101.83999633789062,100.27999877929688,100.7300033569336,314286,-0.0016847269068495097,0.17276463949978815
2012-02-15,101.80000305175781,102.54000091552734,100.61000061035156,100.9000015258789,278272,0.010522187914096648,0.17659043165917235
2012-02-16,102.30999755859375,102.69000244140625,100.83999633789062,101.9000015258789,197307,0.005009769072174208,0.1769470136974155
2012-02-17,103.23999786376953,104.13999938964844,102.25,102.3499984741211,134499,0.0090900237256204,0.16191461868232482
2012-02-21,105.83999633789062,106.06999969482422,104.26000213623047,104.6500015258789,316239,0.025184022936070916,0.17860111619713875
2012-02-22,106.27999877929688,106.72000122070312,105.61000061035156,106.01000213623047,241329,0.004157241653727439,0.17509471026748316
2012-02-23,107.83000183105469,108.73999786376953,105.44999694824219,105.94999694824219,325662,0.014584146307496493,0.17935946292143146
2012-02-24,109.7699966430664,109.94999694824219,107.94999694824219,108.66000366210938,267713,0.017991234156253144,0.1858750801067663
2012-02-27,108.55999755859375,109.7699966430664,107.2699966430664,109.66999816894531,277597,-0.011023040188359978,0.19318554656083248
2012-02-28,106.55000305175781,108.79000091552734,106.30000305175781,107.94999694824219,278723,-0.018515056669479613,0.2054898508944239
2012-02-29,107.06999969482422,107.43000030517578,104.83999633789062,106.45999908447266,353125,0.004880306224053443,0.20387442827190602
